word,count
SONA,65
THE,55
RT,53
TO,36
SA,34
OF,30
ANG,20
NA,19
AND,14
NG,14
5TH,13
MGA,12
FOR,11
IN,11
DUTERTES,10
DUTERTE,10
WE,9
MY,8
PRESIDENT,8
WITH,8
NI,7
THAT,7
THIS,7
COVID19,7
2020,7
MAY,6
I,6
A,6
AMP;,6
HIS,5
IS,5
PA,5
UP,5
ON,5
TAG,5
STATE,4
DI,4
KO,4
YUNG,4
RIN,4
PRES,4
SONA2020,4
YOU,4
RODRIGO,4
ROA,4
STUDENT,4
THEY,4
SI,4
WAY,4
YA,4
KA,4
FIRST,4
NAMAN,3
BEFORE,3
CONGRESS,3
LANG,3
HIM,3
EVERYONE,3
COUNCIL,3
FROM,3
SILA,3
ARAW,3
ONE,3
WOULD,3
LIKE,3
THA,3
ITS,3
KHARAASONA,3
AT,3
SONAGKAISA,3
ME,3
HER,3
OWN,3
RAPPLERDOTCOM:,3
DAPAT,3
GLOBE,3
IF,3
DURING,3
PRESS,3
NO,2
NAKITA,2
TAYO,2
MESSAGE,2
SHARES,2
AGAIN,2
LAW,2
AKO,2
ABOUT,2
WAG,2
PALA,2
WALANG,2
FRANKLIN,2
DRILON,2
PRESIDENTS,2
WONT,2
REACH,2
NATION,2
ONLY,2
CAN,2
MABUTI,2
PERO,2
GMANEWS:,2
WAR,2
AFTER,2
TOWERNAMBA:,2
【ジェジュン】,2
COVERS,2
GROUPS,2
HAVE,2
DONT,2
SABI,2
HINDI,2
BA,2
NGAYONG,2
LA,2
PERSONA,2
QUE,2
TE,2
TAPOS,2
PANGULO,2
GET,2
SAME,2
PASSAGE,2
BAYANIHAN,2
AS,2
ACT,2
WHICH,2
RESPONSE,2
AGAINST,2
PANDEMIC,2
UPDATE,2
GIVE,2
DISCUSSIONS,2
RELATED,2
HELD,2
EARLIER,2
AFTERNOON,2
REQUEST,2
STEP,2
KAR,2
HE,2
MUJHE,2
HEALTH,2
GOVERNMENTS,2
NANGA,2
THALAAJITHFC,2
TWEET,2
FANS,2
FC,2
PAGE,2
KU,2
VALIMAI,2
THALAAJITH,2
AJITHKUMAR,2
LOOK:,2
DILIMAN,2
PROTEST,2
F…,2
BUT,2
EVEN,2
KATRINADOMINGO,2
WHAT,2
CLEAR,2
WAS,2
|,2
WAKASONA2020,2
OFWS,2
NADINE,2
PLEASE,2
TAYONG,2
BHAI,2
KACHRA,2
HA,2
HOGA,2
YOUR,2
SIYA,2
TIME,2
WHY,2
HUMAN,2
RIGHTS,2
KUNG,2
SAAN,2
PROTESTA,2
COVID,2
CNNPHILIPPINES:,2
REACT,2
OUR,2
KANYANG,2
SENATE,2
LEADER,2
ZUBIRI,2
MATAPOS,2
TEST,2
ANCALERTS:,2
SAID,2
21,2
BILLS,2
MARACEPEDA,2
BE,2
PARA,2
HERE,2
THROUGH,2
POSTSONA,2
NEW,2
EXECUTIVE,2
5,2
WERE,2
TOTALLY,2
REAPERSZN,2
ALSO,2
PROVIDED,2
HEROANGEL17:,1
ACCOMPLISHMENT,1
🤭✊,1
BENOKCASTILLO:,1
IKUMPARA,1
TESTIMONYA,1
NANAY,1
HASHTAGNIKKO13:,1
SONA😢😢,1
HAYAAN,1
NGA,1
NILA,1
NAKIKITA,1
RIA,1
ATAYDE,1
SENDS,1
STRONG,1
ANGRY,1
QUOTE,1
RIAATAYDE,1
READ,1
MORE:,1
HTTPS://TCO/WTFCJZZE1L,1
REITERATE,1
THANKS,1
MEN,1
WOMEN,1
EFFORT,1
INVESTED,1
INTO,1
PASSING,1
KBROSAS:,1
JOKE,1
KASO,1
KC,1
KWENTA,1
😜,1
CHARLISCTEX:,1
READING,1
SCRIPT,1
HTTPS://TCO/Q9EER67BIZ,1
IAMKARENDAVILA:,1
OKAY,1
CLEARLY,1
SENATOR,1
CONSCIOUSNESS,1
MENTIONING,1
CALLS,1
HIM…,1
ITSACSLIFE:,1
FACT,1
YEARS,1
WHOLE,1
BECAUSE,1
STATION,1
NATIONWIDE,1
WAS…,1
PARANG,1
SPEECH,1
LNG,1
YONG,1
SENSE,1
KANYA,1
NONSENSE,1
DUHHHH,1
PHILIPPINE,1
NEIGHBORS,1
STANDING,1
CHINA,1
WITHOUT,1
CARPIO,1
TELLS,1
HTTPS://TCO/NIEAEXKBCU,1
JEEVANPARIHAR15:,1
MUST💯💯💯💯,1
9अगस्तविश्वआदिवासीदिवस,1
BHAGVATEEBHEEL,1
ROSHNIDAMOR5,1
TRIBALSONA,1
BHEELNANDU,1
VIJESHBHEEL,1
BTPRA…,1
\ジェジュンの優しく、深い歌声がしみわたる/,1
カバーアルバム『LOVE,1
Ⅱ』本日入荷しました🙌,1
原曲の良さをひきたてるだけでなく、ジェジュンらしさも全開のアルバムです♪,1
🎁タワレコ特典はアナザージャ…,1
DAILYGUARDIANPH:,1
NEITHER,1
LINGERING,1
THREAT,1
NOR,1
POURING,1
RAIN,1
FAILED,1
STOP,1
PROTESTING,1
POLICIES,1
O…,1
ITSJAYEMD:,1
BUTI,1
PUPUNTA,1
MANDATORY,1
RTPCR,1
KAMING,1
